French,English
restez,Stay
absolument,absolutely
mots,words
victime,victim
impression,impression
décidé,decided
sympa,nice
pars,pars
fasse,do
avion,plane
bordel,mess
habitude,habit
table,table
rouge,red
système,system
photos,Pictures
médecin,doctor
seras,will be
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,bottom
surprise,surprise
croyez,believe
devais,had to
ligne,line
porter,to carry
imagine,conceived
colère,anger
clair,clear
seront,will be
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,Magnificent
risque,risk
terminé,ended
su,on
heureuse,happy
mission,assignment
jolie,pretty
parlez,speak
présent,here
sorti,got out
cadeau,gift
expliquer,explain
volé,stolen
plusieurs,several
gauche,LEFT
ferait,would do
neuf,nine
passe-t-il,he passes
ouvre,open
disais,said
dedans,inside
disent,say
pouvons,can
allez-y,Go for it
suivre,follow
pourra,may
inspecteur,inspector
réponse,answer
lumière,light
pieds,feet
pote,pal
montre,show
pied,foot
marcher,to walk
charlie,charlie
auras,aura
envoyer,send
vraie,real
espèce,species
doivent,must
allô,Hello
pareil,The same
vas-tu,Are you going
soleil,sun
camp,camp
fallait,had to
coin,corner
ignore,ignore
moitié,half
you,you
selon,according
tenir,hold
grosse,fat
vouloir,to want
michael,Michael
vieille,old
devenu,became
continuer,continue
rend,renders
sortie,exit
recherche,research
arrière,back
lire,read
doucement,gently
joli,attractive
avance,advance
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,lay
chaud,hot
aimé,like
david,David
fais-tu,do you do
tom,Tom
professeur,teacher
quitter,quit
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,to know
lettre,letter
forme,form
connaît,know
conseil,advice
bar,bar
normal,normal
danger,hazard
dangereux,dangerous
folle,crazy
jure,sworn
tiré,drawn
essaye,tried
bonnes,good
offre,offer
but,aim
froid,cold
allez-vous,Are you going
prêts,loans
tranquille,calm
gamin,kid
joe,joe
classe,class
joué,cheek
poste,job
con,stupid
mike,mike
attaque,offensive
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,upright
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,alive
ciel,sky
lu,read
touche,hit
aimer,to like
faites-vous,do yourself
télé,TV
met,put
écouter,listen
serez,will be
ll,ll
pourtant,Nevertheless
change,exchange
triste,sad
droite,LAW
gueule,mouth
tombe,fall
sentir,feel
ouvrir,open
travers,through
santé,health
dossier,case
ie,ie
jeunes,youth
frank,Frank
coucher,to sleep
cuisine,food
monte,mounted
pouvez-vous,can you
signifie,means
entrez,Come in
relation,relationship
centre,center
dame,lady
chacun,each
chanson,song
foutre,cum
voler,fly
blanc,white
george,George
certain,certain
don,Don
âme,soul
manière,manner
flic,cop
décision,decision
mange,eat
vit,lives
compagnie,company
déjeuner,lunch
différent,different
tire,drawn
ordres,orders
clé,key
vaisseau,vessel
secondes,seconds
enfer,hell
sortez,get out
vendre,sell
faisais,was doing
responsable,responsible
mecs,guys
nulle,nothing
signe,sign
lieutenant,lieutenant
aille,go
acheté,bought
étrange,odd
diable,devil
viennent,are coming
monter,to go up
là-dedans,in there
l,I
capable,able
emmener,to take
écrire,to write
honte,shame
bouche,blocked
préfère,favorite
coupable,guilty
rire,laugh
payé,paid
soin,care
milieu,environment
appartement,apartment
prochain,next
cerveau,brain
paris,Paris
m,M
blague,joke
choisi,selected
époque,era
aurez,will have
voie,way
réunion,meeting
connu,known
allée,aisle
intérêt,interest
cheval,horse
combat,fight
silence,silence
coups,strokes
existe,exist
ia,IA
retourne,return
tel,such
trou,hole
public,audience
peter,to fart
oeil,eye
pleine,full
cacher,hide
amoureux,lover
drogue,dope
commandant,commanding officer
garçons,boys
faisons,let's do
paul,Paul
n,not
tient,is holding
est-elle,is she
prise,plug
gouvernement,government
dirai,will say
client,customer
adresse,address
journal,log
contact,contact
dingue,crazy
sent,feel
récupérer,retrieve
base,base
preuves,evidence
présente,present
peau,skin
servir,serve
peuple,people
exemple,example
fiche,form
max,max
promets,promotion
lequel,which
blessé,hurt
c,vs
société,Company
tort,wrong
sept,seven
pourriez,could
savent,know
ouvert,open
héros,hero
menti,lies
mer,sea
contente,satisfied
quitté,quits
jeter,discard
sauvé,Safe
bière,beer
assis,sat
robe,dress
ecoutez,Listen
devient,become
félicitations,Congratulation
opération,operation
prévu,foreseen
fut,was
tenez,hold
livres,books
répondre,respond
seuls,only
pute,whore
entrée,entrance
vol,flight
horrible,horrible
vin,wine
dommage,Shame
dites-moi,tell me
auriez,would have
colonel,colonel
ramener,to bring back
règles,rules
nez,nose
justice,justice
fbi,FBI
découvert,discovered
départ,departure
bruit,noise
secours,rescue
vérifier,check
enceinte,pregnant
mise,putting
témoin,witness
dirais,would say
directeur,director
intéressant,interesting
excuse,excuse
environ,approximately
t,t
inutile,useless
terrible,terrible
danse,dance
position,position
humain,human
apparemment,apparently
avenir,coming
rêves,dreams
œil,eye
bête,beast
sérieusement,seriously
bravo,cheer
approche,approach
nourriture,food
fric,money
plupart,mostly
lycée,high school
tas,pile
empêcher,to prevent
longue,long
sexe,sex
niveau,level
banque,bank
éviter,avoid
étions,were
lune,moon
pitié,pity
liberté,freedom
expérience,experience
procès,trial
radio,radio
hum,hum
verra,will see
thé,tea
partez,set off
utilisé,used
mur,ripe
pose,laid
revenu,income
deuxième,second
bande,strip
asseyez-vous,sit down
certaines,some
ridicule,ridiculous
nord,north
appelez,call
copine,friend
baiser,kiss
anglais,English
henry,Henry
toilettes,bathroom
portes,doors
faudra,will have to
occupé,busy
grands,tidy
and,and
dérange,disturbs
rôle,role
censé,supposed
savez-vous,Do you know
james,james
reine,queen
croit,believes
cour,court
église,church
vide,empty
obtenir,get
conneries,bullshit
ennuis,troubles
personnel,staff
conduire,conduct
tombé,fall
sol,floor
code,coded
huit,eight
avions,planes
espoir,hope
comprenez,understand
spécial,special
vidéo,video
vêtements,clothes
défense,defense
alex,Alex
sud,south
grand-mère,Grandmother
match,match
bombe,bomb
intéresse,interested
zone,area
tante,aunt
paraît,appears
excuser,excuse
magasin,store
marier,marry
chère,dear
aie,Ouch
souvenir,memory
proche,close
revient,come back
danny,Danny
douleur,pain
arrivera,to arrive at
presse,press
merveilleux,marvellous
asseoir,Sit
ravi,delighted
aimais,loved
h.,h.
amérique,America
fenêtre,window
mien,mine
terrain,ground
sergent,sergeant
peux-tu,can you
projet,project
quartier,neighborhood
planète,planet
certainement,certainly
rapide,fast
lorsque,when
assurer,ensure
rendu,rendering
mignon,cute
tourne,turned
danser,to dance
bob,bob
clients,clients
petites,small
aimez,like
présenter,to present
importance,importance
venus,Venus
jimmy,jimmy
sache,beam
mérite,deserved
machine,machine
derniers,last
programme,program
mesdames,ladies
meilleurs,best
honnête,honest
essayez,try
irai,go
connard,asshole
occasion,occasion
prouver,prove
travaillé,work
glace,ice
ayez,have
parie,bett
camion,truck
fier,proud
discuter,discuss
village,village
spectacle,show
d,d
nul,no
rose,pink
touché,hit
mangé,eat
vis,screw
parole,speech
rencontre,encounter
apprécie,appreciate
jane,jane
réalité,reality
savons,soaps
respect,respect
remettre,to put back
vacances,vacation
détruire,destroy
choisir,choose
ha,Ha
découvrir,discover
idées,ideas
officier,officer
frères,brothers
sert,serve
bill,bill
solution,solution
informations,information
attendais,expected
monstre,freak
sexy,sexy
ordinateur,computer
retrouvé,found
nature,nature
rappeler,recall
énergie,energy
pierre,rock 
utilise,used
pression,pressure
chaussures,shoes
faite,done 
histoires,stories
sarah,sarah
marié,married
espace,space
soient,be
nick,nick
portable,portable
préparer,prepare
nécessaire,necessary
court,short
offrir,to offer
will,will
ai-je,have I got
tony,tony
envers,towards
bain,bath
charge,charge
mary,mary
harry,harry
jim,jim
ennemi,enemy
arrivent,arrive
immédiatement,immediately
finalement,Ultimately
énorme,enormous
grand-père,grandfather
test,test
gagne,won
réfléchir,to reflect on
victimes,victims
chanter,sing
futur,future
lâche,cowardly
mademoiselle,miss 
copain,boyfriend
enlever,to remove
pensez-vous,Do you think
retrouve,found
épouser,marry
fleurs,flowers
salope,slut
aies,aies
gosse,kid
arranger,arrange
riche,rich
faits,facts
ancien,ancient
stop,stop
accepter,accept
restes,remains
nouveaux,new
sauter,skip
suspect,suspicious
vies,lives
durant,during
invité,guest
politique,policy
dents,teeth
patient,patient
repas,meal
urgence,emergency
cartes,cards
jambes,legs
conversation,conversation
telle,such
bus,bus
to,to
tourner,turn
toucher,to touch
mémoire,memory
série,series
mariée,bride
contraire,opposite
vent,wind
taille,size 
donnez-moi,Give me
trouves,found
celui-là,that one
chat,cat
continuez,continue
contrat,CONTRACT
couteau,knife
double,double
dure,hard
carrière,career
excuse-moi,excuse me
ray,ray
regardé,look at
descendre,to come down
université,university
sentiments,feelings
papier,paper
remarqué,REMARK
noms,nouns
vécu,lived
courage,courage
beauté,beauty
bu,drank
tais-toi,shut up
après-midi,afternoon
excellent,excellent
assieds-toi,Sit down
richard,richard
propres,clean
parmi,among
forte,strong
étant,being
couple,couple
aiment,like
permis,permit
différence,difference
faudrait,should
course,race
humains,humans
dégage,clear
mille,thousand
accès,access
cible,target
joyeux,cheerful
bonheur,happiness
aimait,loved
manqué,lack
action,stock
steve,steve
aidé,aid
vouliez,wanted
trouvez,Find
films,movies
emmène,take
marie,married
taxi,Taxi
restaurant,restaurant
crise,crisis
piste,track
dernières,latest
puisque,since
blanche,white
coupe,cut
secrets,secrets
prince,prince
marrant,funny
raisons,reasons
refuse,denied
apporté,brought
cassé,broken
lors,during
mettez,put
dis-lui,tell him
tuée,killed
maladie,disease
mienne,mine
rentré,go home
week-end,weekend
excuses,apologize
km,km
alcool,alcohol
voudrait,would like
fil,thread
rends,renders
quitte,quits
couché,layer
disons,let's say
totalement,totally
claire,clear
it,it
londres,London
remercier,thank
mêmes,same
partis,gone
pensait,thought
île,island
tommy,tommy
remercie,thanks
caméra,camera
pensent,think
suis-je,am I
pleurer,cry
régler,adjust
ouvrez,open
entier,entire
foutu,damn
types,guys
fermer,close
animaux,animals
dise,say
image,picture
étage,stage
rejoindre,join
soldats,soldiers
amuser,entertain
points,points
suivi,follow up
oubliez,forget
langue,language
direction,direction
frais,costs
veuillez,please
miss,miss
soldat,soldier
couleur,color
bouger,to move
frappé,struck
frapper,to hit
venait,came
raté,missed
évidemment,obviously
sacré,sacred
clés,keys
mentir,lie
épouse,marry
troisième,third
johnny,johnny
amy,Amy
jésus,Jesus
faible,weak
ryan,ryan
afin,in order to
bleu,blue
failli,falling
courir,run
américain,American
détails,details
pont,bridge
gay,gay
regarde-moi,look at me
jake,jake
billy,billy
attraper,catch
papiers,papers
poisson,fish
lui-même,itself
wow,wow
chiens,dogs
date,date
intention,intention
procureur,prosecutor
goût,taste
pourras,can
shérif,sheriff
sais-tu,Do you know
arrêt,stop
sourire,smile
lait,milk
chasse,chase
signal,signal
parlait,was talking
destin,fate
marre,fed up
français,French
princesse,princess
paie,pay
foi,faith
chier,take a dump
dois-je,should I
présence,presence
doigts,fingers
partenaire,partner
quelles,what
daniel,Daniel
préféré,favorite
adieu,farewell
costume,suit
entreprise,business
utile,useful
calme-toi,calm down
lien,link
unique,unique
appartient,belongs
attendant,waiting
amené,bring
moindre,lesser
quels,what
amener,to bring
amène,bring
enfoiré,Motherfucker
recherches,research
discours,speech
données,data
robert,Robert
art,art
appelles,calls
salaud,bastard
penses-tu,do you think
magie,magic
bouteille,bottle
justement,exactly
raconter,to tell about
rapidement,quickly
bref,Short
tribunal,court
viendra,will come
passée,past
superbe,stunning
pourrai,could
pièces,pieces
certaine,certain
obligé,obligatory
formidable,tremendous
pause,break
identité,identify
campagne,campaign
lee,lee
auraient,would have
couper,cut
mark,mark
morceau,piece
os,bone
lettres,letters
nombre,number
intelligent,clever
gâteau,cake
dépend,depends
job,job
jeux,games
compter,count
cou,neck
of,of
reprendre,to resume
joie,joy
agents,agents
gardes,guards
star,star
regard,glance
demandez,Ask
balles,bullets
vendu,sold
majesté,majesty
menace,threat
malgré,despite
appareil,device
demandais,asked
là-haut,up there
privé,private
adam,Adam
forces,strengths
fonctionne,works
méchant,bad
jambe,leg
empreintes,fingerprints
ange,angel
agir,to act
noire,black
imbécile,imbecile
gentille,kind
labo,lab
résultats,results
toi-même,yourself
cinéma,movie theater
nouvel,new
malheureusement,Unfortunately
décider,decide
né,born
importante,important
voulons,want to
détruit,destroy
parfaitement,perfectly
martin,Martin
produit,product
réparer,fix
chapeau,hat
gérer,manage
écoute-moi,listen to me
adn,DNA
échange,exchange
mince,thin
bougez,move
parfaite,perfect
meurt,dies
fout,cum
vitesse,speed
fermé,farm
succès,hit
au-dessus,above
etre,be
souvenirs,memories
comprend,understand
odeur,smell
pain,bread
falloir,to need
aise,easy
caché,hidden
règle,rule
imaginer,imagine
raconte,recount
vus,sewing
accepté,accepted
trouvée,found
dors,sleep
celui-ci,this one
ministre,minister
infos,info
vendredi,Friday
voitures,cars
lever,lift
arbre,TREE
maire,mayor
faveur,favor
pourraient,could
prendra,will take
surpris,surprised
jeté,thrown
également,also
fac,college
apporter,bring
washington,Washington
champ,field
peut-on,can we
comptes,accounts
échapper,escape
valeur,value
in,in
réel,real
couverture,blanket
million,million
article,article
doux,soft
parc,park
toit,roof
unité,unit
resté,stay
plage,beach
partager,share
malin,clever
recevoir,receive
inquiétez,worry
attendu,expected
charles,Charles
coffre,chest
uh,UH
eddie,Eddie
chris,Chris
celle-là,that one
ramène,brings back
mode,fashion
folie,madness
extérieur,outside
van,van
membre,member
prévenir,prevent
cache,hidden
inquiéter,worry
hasard,chance
concerne,concerned
réponds,answer
génie,genius
j,J
parlais,gauge
parlons,let's talk
jardin,garden
saison,season
montré,show
frappe,struck
enchanté,delighted
gosses,kids
abandonner,give up
assure,assured
apporte,brought
prépare,prepared
mètres,meters
suivant,following
souhaite,wish
services,services
ouest,west
va-t',go t '
poids,weight
poche,poached
faisant,doing
répondu,answered
directement,directly
source,source
france,France
créer,create
samedi,SATURDAY
aidez-moi,help me
univers,universe
saura,will know
réalisé,accomplished
américains,American
perds,losers
membres,members
viande,meat
o',o '
bobby,bobby
sont-ils,are they
crois-moi,believe me
amoureuse,in love
grandes,large
changement,change
compliqué,complicated
bal,ball
page,page
conduit,conduit
passage,passage
piège,trap
kevin,kevin
ressens,feeling
accepte,accepted
grace,grace
fais-le,do it
amusant,amusing
dan,dan
donnez,give
traces,traces
trésor,treasure
explique,explain
fesses,buttocks
perte,loss
fantôme,ghost
naissance,birth
retraite,retirement
regardes,look
franchement,Frankly
côtés,sides
larry,Larry
étranger,foreign
poulet,chicken
vienne,Vienna
débarrasser,rid
enlève,remove
marque,brand
mens,mens
fantastique,fantastic
cent,hundred
beaux,beautiful
entendez,hear
ouverte,opened
bâtiment,building
a-t-elle,has she
devrions,should
embrasser,embrace
tombée,fall
manquer,miss
entré,between
san,San
chevaux,horses
habite,reside
animal,animal
fatigué,fatigue
heureusement,Fortunately
billets,tickets
convaincre,convince
appelait,called
rachel,Rachel
paradis,heaven
émission,issue
lance,spear
nettoyer,to clean
file,line
dimanche,Sunday
agréable,pleasant
plans,plans
conscience,awareness
ennemis,enemies
disant,saying
connaissance,awareness
douce,gentle
belles,beautiful
sentiment,feeling
bataille,battle
perd,lose
pourrez,can
relations,relations
espérais,hoped
fais-moi,Make me
vôtre,your
servi,served
souci,worry
note,note
doigt,finger
mensonge,lie
volonté,will
walter,Walter
victoire,victoire
direct,direct
abandonné,abandoned
information,information
joindre,join
proches,relatives
brian,brian
droits,rights
eric,Eric
nerveux,nervous
coupé,cut
patients,patients
invités,guests
arrivés,arrived
descends,go down
pleure,cry
traitement,treatment
jerry,jerry
senti,felt
cancer,cancer
répète,say again
reposer,to rest
regrette,regret
aide-moi,help me
flingue,gun
cousin,cousin
désormais,From now on
vérifié,checked
crains,fearful
douche,shower
gaz,gas
interdit,forbidden
théorie,theory
scott,scott
trace,trace
contrôler,control
signer,sign
no,no
demandes,requests
internet,Internet
andy,Andy
cherchez,look
salon,living room
pete,pete
serons,will be
appels,calls
lancer,throw
protection,protection
pantalon,pants
rappelles,recall
dossiers,files
style,style
ravie,stunned
semblant,semblance
yeah,Yeah
kim,kim
offert,Free
vieil,old
humaine,human
grandi,grown up
médicaments,medications
acte,deed
moyens,means
lois,laws
kate,kate
meurs,die
laisserai,will leave
aéroport,airport
mauvaises,bad
détective,detective
autrement,otherwise
témoins,witnesses
queue,tail
coincé,stuck
mariés,married
sonne,sound
innocent,innocent
dira,will say
créé,created
jason,jason
supporter,support
milliers,thousands
heu,uu
infirmière,nurse
métier,job
crétin,dumbass
retirer,to withdraw
surveillance,surveillance
chances,odds
oreilles,ears
trouvera,will find
suicide,suicide
militaire,military
atteindre,reach
fuir,flee
casse,broken
dormi,sleep
pilote,pilot
rires,laughter
appelée,called
risques,risks
leçon,lesson
paquet,pack
man,man
défendre,defend
immeuble,building
récemment,recently
chinois,Chinese
battu,beaten
aveugle,blind
oiseau,bird
qu,that
propriétaire,owner
ancienne,Ancient
veste,jacket
anna,Anna
simon,Simon
saviez,knew
amies,friends
cherché,look for
tirez,PULL
al,Al
différents,different
gardez,Keep
feras,do
lisa,lisa
lis,read
station,station
mandat,mandate
assassin,assassin
thomas,Thomas
célèbre,famous
dort,sleep
bague,ring
dépêche-toi,hurry up
tente,tent
devenue,become
ventre,belly
carter,housing
respire,breath
haute,high
connaissais,knew
genoux,knees
terme,term
vert,Green
emily,Emily
refusé,denied
hâte,haste
réveiller,wake
commande,order
commun,commmon
souris,mouse
partons,Let's start
perdue,lost
dirige,directed
verras,will see
charmant,charming
chante,sung
sport,sport
celle-ci,this one
viré,fired
ies,ies
fiston,son
étoiles,stars
laisses,leave
parlant,speaking
là-dessus,on this
signé,sign
virer,fire
